theta_z_deg,open_step,align_deg,tilt_deg,cost,t_flight,release_x,release_y,release_z,vel_x,vel_y,vel_z,land_x,land_y,land_z
15.0,0.014428571428571428,44.950704973809394,60,1.3526756103531314,0.32428723607230386,0.040995827820751375,0.05518607738741974,0.51134328616012,0.005590519224127344,-0.033817281224727824,0.013806775748053113,0.042808761848152715,0.04421956472757294,0.0
5.0,0.022714285714285715,44.950704973809394,60,1.3532106129188886,0.35619419624086224,0.006131617906989556,0.08293672534429695,0.6180783664097425,0.004503809008065338,-0.008535861128972089,0.011903904659273934,0.007735848536639744,0.07989630115023913,0.0
25.0,0.018571428571428572,44.950704973809394,90,1.3551209721776003,0.3436184429858863,0.07168559909216092,0.011512704296892102,0.5756569388868906,0.0018910474309763448,0.0019377206130405389,0.010168946750255259,0.07233539786600547,0.012178540836886749,0.0
-5.0,0.031,44.950704973809394,90,1.3554899262383733,0.4097870660788058,0.018668506968650644,0.06519167553877038,0.8209070342501377,-1.3008373778156113e-06,-0.0006183257434166922,0.006752889125563044,0.018667973902318145,0.06493829364649466,0.0
-15.0,0.022714285714285715,44.950704973809394,90,1.3559428575735133,0.35817926456595595,0.06165144176813894,0.018718120087968422,0.6259239317344564,0.0021949802247139827,0.00477873046055427,0.009353471273589875,0.062437638170763816,0.020429762249888683,0.0
-5.0,0.026857142857142857,44.950704973809394,75,1.356494607080138,0.37883585479966836,0.021554231674414844,0.056637709180842676,0.6992668262094449,0.0064016470104200085,0.0034595049476465745,0.012359233363055111,0.023979405091733047,0.05794829369486805,0.0
-5.0,0.026857142857142857,44.950704973809394,90,1.3571172776322677,0.37834961675561796,0.029178800652488134,0.05337667904251327,0.7074091485911255,-0.0032808921378041367,-0.0010692031271553049,-0.013918574116935645,0.02793747636953342,0.05297214644912015,0.0
25.0,0.002,44.950704973809394,60,1.357399819394565,0.28283799808982324,0.015709366314417016,0.06397739112901263,0.3945463376700603,-0.004778951113282859,0.009636206207624953,-0.007634824591740141,0.01435769734856696,0.066702876401958,0.0
25.0,0.031,44.950704973809394,75,1.360377574135558,0.4153194533362928,-0.04124880053914814,0.12424156947919614,0.843248630688851,2.557447450313166e-05,0.0006910711503549383,0.006780412754459064,-0.041238178962378136,0.12452858477157804,0.0
5.0,0.022714285714285715,44.950704973809394,75,1.3605072213370906,0.35564462528718893,0.0007390861847192757,0.08051987984276723,0.6256898878540236,-0.012147622266079202,0.0025071430782352966,-0.01487519971239415,-0.003581150384230775,0.08141153180336759,0.0
35.0,0.026857142857142857,44.950704973809394,75,1.3609066778837107,0.38717521593785403,0.09034181046909832,-0.013565757505227097,0.7327071794529204,0.0011291452533079838,0.0024620048829887553,0.0066510408704534285,0.09077898752637305,-0.012612530233015874,0.0
-45.0,0.010285714285714285,44.950704973809394,75,1.3615229298632958,0.12115650656307651,0.05431324438511356,0.020499490149125603,0.072,0.0,0.0,0.0,0.05431324438511356,0.020499490149125603,0.0
-5.0,0.026857142857142857,44.950704973809394,60,1.3616510203906522,0.3769041133860586,0.010024862648413608,0.06415160979476262,0.6938534088789443,0.0017762286202746558,0.0006300546275406216,0.007786481861522532,0.010694330521709169,0.0643890799755406,0.0
25.0,0.022714285714285715,44.950704973809394,75,1.3617576269854275,0.36033957894018703,0.07334399404446305,0.00012862601413446168,0.6431181650195114,-0.0011144879119373563,0.006661915829333102,-0.017290197313890587,0.07294239993954162,0.0025291779590113183,0.0
15.0,0.026857142857142857,44.950704973809394,90,1.361794054448593,0.3893832604349486,0.013170856015291653,0.06325376638654882,0.7412351749828774,-0.000513027991185383,-0.0037851638270847143,0.006311536905752035,0.012971091503389497,0.06177988695427815,0.0
35.0,0.006142857142857143,44.950704973809394,90,1.362287269995752,0.2990800029693158,0.04303236913950242,0.031218260895185812,0.43510878167222256,0.002122881833736545,-0.004684001106418367,0.012163362964954239,0.04366728064463985,0.02981736983036993,0.0
15.0,0.026857142857142857,44.950704973809394,60,1.3628340948081699,0.38551311496735957,-0.01605372597675034,0.09085404637910904,0.726383129154476,2.4166477341769355e-05,0.0022491358743736978,0.0067435981595664884,-0.016044409482792527,0.09172111775602368,0.0
5.0,0.014428571428571428,44.950704973809394,90,1.362865711275215,0.3239985327192724,0.04610561951231147,0.023373381475002467,0.5188864886890581,-0.009342929922228072,0.019173397447427576,-0.012295957974925997,0.04307852392621059,0.029585534115212444,0.0
25.0,0.010285714285714285,44.950704973809394,60,1.3649218342169964,0.3041474080688857,0.049750635095218605,0.025244417384574887,0.4507944260281633,-0.004255029836300328,-0.012503202573343475,0.009685325978345816,0.048456478799252085,0.02144160072933225,0.0
